id,lon,lat
d001,10.7522,59.9139
d002,5.3221,60.3913
d003,-3.7038,40.4168
d004,-0.1276,51.5072
d005,2.3522,48.8566
d006,-47.8825,-15.7942
d007,-58.4438,-34.6118
d008,-70.6693,-33.4489
d009,-99.1332,19.4326
d010,-74.0060,40.7128
d011,-123.1207,49.2827
d012,31.2357,30.0444
d013,36.8219,-1.2921
d014,28.0473,-26.2041
d015,18.4241,-33.9249
d016,72.8777,19.0760
d017,77.2090,28.6139
d018,100.5018,13.7563
d019,106.8456,-6.2088
d020,116.4074,39.9042
d021,139.6503,35.6762
d022,151.2093,-33.8688
d023,174.7633,-36.8485
d024,37.6173,55.7558
